file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,103
symcc-unsat-1.smt2,sat,124
symcc-unsat-10.smt2,sat,118
symcc-unsat-11.smt2,sat,134
symcc-unsat-12.smt2,sat,137
symcc-unsat-13.smt2,sat,135
symcc-unsat-14.smt2,sat,110
symcc-unsat-15.smt2,sat,132
symcc-unsat-16.smt2,sat,124
symcc-unsat-17.smt2,sat,139
symcc-unsat-18.smt2,sat,126
symcc-unsat-19.smt2,sat,131
symcc-unsat-2.smt2,sat,107
symcc-unsat-20.smt2,sat,123
symcc-unsat-21.smt2,sat,116
symcc-unsat-22.smt2,sat,117
symcc-unsat-23.smt2,sat,121
symcc-unsat-24.smt2,sat,200
symcc-unsat-25.smt2,sat,195
symcc-unsat-26.smt2,sat,681
symcc-unsat-27.smt2,sat,19913
symcc-unsat-28.smt2,sat,19809
symcc-unsat-29.smt2,sat,21701
symcc-unsat-3.smt2,sat,118
symcc-unsat-30.smt2,sat,21813
symcc-unsat-31.smt2,sat,20030
symcc-unsat-32.smt2,sat,588
symcc-unsat-33.smt2,sat,655
symcc-unsat-34.smt2,TIMEOUT,300161
symcc-unsat-35.smt2,TIMEOUT,300134
symcc-unsat-36.smt2,TIMEOUT,300146
symcc-unsat-37.smt2,TIMEOUT,300115
symcc-unsat-38.smt2,TIMEOUT,300131
symcc-unsat-39.smt2,TIMEOUT,300121
symcc-unsat-4.smt2,sat,119
symcc-unsat-40.smt2,TIMEOUT,300115
symcc-unsat-41.smt2,TIMEOUT,300117
symcc-unsat-42.smt2,TIMEOUT,300104
symcc-unsat-43.smt2,TIMEOUT,300104
symcc-unsat-44.smt2,TIMEOUT,300121
symcc-unsat-45.smt2,TIMEOUT,300117
symcc-unsat-46.smt2,TIMEOUT,300142
symcc-unsat-47.smt2,TIMEOUT,300116
symcc-unsat-48.smt2,TIMEOUT,300122
symcc-unsat-49.smt2,TIMEOUT,300128
symcc-unsat-50.smt2,TIMEOUT,300107
symcc-unsat-51.smt2,TIMEOUT,300119
symcc-unsat-52.smt2,TIMEOUT,300086
symcc-unsat-53.smt2,TIMEOUT,300115
symcc-unsat-54.smt2,TIMEOUT,300150
